,0
289,https://openalex.org/W3088928851
290,https://openalex.org/W3099087894
291,"https://openalex.org/W2969405851,https://openalex.org/W2969738668"
292,"https://openalex.org/W2987739430,https://openalex.org/W2946287558"
293,"https://openalex.org/W2997258543,https://openalex.org/W2964930724"
294,"https://openalex.org/W3025162817,https://openalex.org/W2948264248"
295,https://openalex.org/W3025605306
296,"https://openalex.org/W3031629545,https://openalex.org/W2915788039,https://openalex.org/W2972677741,https://openalex.org/W3011980660"
297,"https://openalex.org/W3043711614,https://openalex.org/W3012731328,https://openalex.org/W3043711614"
298,"https://openalex.org/W3048071194,https://openalex.org/W2909757739"
299,"https://openalex.org/W3126775937,https://openalex.org/W3038687758"
300,https://openalex.org/W3130444584
301,"https://openalex.org/W3112617402,https://openalex.org/W2953791169,https://openalex.org/W2957111191"
302,"https://openalex.org/W3153517162,https://openalex.org/W2981468872,https://openalex.org/W2990086091,https://openalex.org/W3007426008"
303,"https://openalex.org/W3187558905,https://openalex.org/W3017309273,https://openalex.org/W3018429123"
304,"https://openalex.org/W3095847172,https://openalex.org/W2989857225,https://openalex.org/W3009844985,https://openalex.org/W3039558631"
305,"https://openalex.org/W3120533378,https://openalex.org/W2967039271,https://openalex.org/W3014231961"
306,https://openalex.org/W3097535281
307,"https://openalex.org/W3112107215,https://openalex.org/W2909942901,https://openalex.org/W2956733809,https://openalex.org/W2979843246"
308,"https://openalex.org/W3130341350,https://openalex.org/W2955046383,https://openalex.org/W2956041281"
309,"https://openalex.org/W3094438641,https://openalex.org/W3014468003"
310,"https://openalex.org/W3127648845,https://openalex.org/W2935863043,https://openalex.org/W3017040540,https://openalex.org/W3022027972"
311,https://openalex.org/W3205631159
312,"https://openalex.org/W3210106786,https://openalex.org/W2905245562,https://openalex.org/W2908893700,https://openalex.org/W2909984890,https://openalex.org/W2924846406,https://openalex.org/W2943796112,https://openalex.org/W2970541415,https://openalex.org/W2999802832,https://openalex.org/W3005570157,https://openalex.org/W3010478635,https://openalex.org/W3014468003,https://openalex.org/W3032621852,https://openalex.org/W3033352256,https://openalex.org/W3094438641,https://openalex.org/W3100968477,https://openalex.org/W3103293247,https://openalex.org/W3104693082,https://openalex.org/W3130444584,https://openalex.org/W3154650405"
313,"https://openalex.org/W3093009914,https://openalex.org/W2903180922,https://openalex.org/W2920891929"
314,https://openalex.org/W3121021362
315,https://openalex.org/W3122435590
316,"https://openalex.org/W3128950974,https://openalex.org/W2999802832,https://openalex.org/W3010050008,https://openalex.org/W3042927695,https://openalex.org/W3104693082"
317,"https://openalex.org/W3154366515,https://openalex.org/W2982820684"
318,"https://openalex.org/W3166295672,https://openalex.org/W2910299590,https://openalex.org/W2945639090"
319,"https://openalex.org/W3197307613,https://openalex.org/W2935807013,https://openalex.org/W2952905952,https://openalex.org/W2966377380,https://openalex.org/W2988317184,https://openalex.org/W2997000104,https://openalex.org/W2998268303,https://openalex.org/W3007120688,https://openalex.org/W3022723466,https://openalex.org/W3081635661,https://openalex.org/W3088538572"
320,"https://openalex.org/W3202079102,https://openalex.org/W2937370581,https://openalex.org/W3030121692,https://openalex.org/W3032545682,https://openalex.org/W3037645259,https://openalex.org/W3046506912,https://openalex.org/W3112199667,https://openalex.org/W3115545262"
321,"https://openalex.org/W3112277405,https://openalex.org/W2904118025,https://openalex.org/W2908076890,https://openalex.org/W2928811959,https://openalex.org/W2972361801,https://openalex.org/W3087711721"
322,"https://openalex.org/W3128131420,https://openalex.org/W2909984890,https://openalex.org/W2965738997,https://openalex.org/W3092026988,https://openalex.org/W3099909056"
323,"https://openalex.org/W3156841129,https://openalex.org/W3011001781"
324,"https://openalex.org/W3163834626,https://openalex.org/W2995587958"
325,"https://openalex.org/W3201331792,https://openalex.org/W2924724569"
326,"https://openalex.org/W3213123713,https://openalex.org/W2908893700,https://openalex.org/W2909984890,https://openalex.org/W2989857225,https://openalex.org/W2997258543,https://openalex.org/W3089665013,https://openalex.org/W3097039479,https://openalex.org/W3099909056"
327,"https://openalex.org/W3144368698,https://openalex.org/W3122400819"
